"Path","LineNumber","SourceText","Category","Priority","SuggestedKey","Module","Status"
"Core/Models/ApplicationConfiguration.cs","307","Matroska Audio 容器，适合保留原始音频编码输出。","ConfigurationDisplayText","P0","common.applicationConfiguration.line307.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","313","通用文本字幕格式，兼容性最好，适合常见播放器和字幕平台。","ConfigurationDisplayText","P0","common.applicationConfiguration.line313.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","314","适合保留字幕样式、定位和特效信息，常用于进阶字幕工作流。","ConfigurationDisplayText","P0","common.applicationConfiguration.line314.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","315","适合兼容部分旧式字幕编辑或播放工作流。","ConfigurationDisplayText","P0","common.applicationConfiguration.line315.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","316","WebVTT 字幕格式，适合网页和 HTML5 播放器。","ConfigurationDisplayText","P0","common.applicationConfiguration.line316.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","317","标准化文本字幕格式，适合部分平台交换和发布流程。","ConfigurationDisplayText","P0","common.applicationConfiguration.line317.display","common","Pending"
"Core/Models/ApplicationConfiguration.cs","318","Matroska 字幕容器，适合尽量保留原始字幕编码，包括图形字幕。","ConfigurationDisplayText","P0","common.applicationConfiguration.line318.display","common","Pending"
"ViewModels/MainViewModel.cs","26","正在准备运行环境...","ViewModelMessage","P0","mainWindow.mainViewModel.line26.message","main-window","Pending"
"ViewModels/MainViewModel.cs","27","文件已准备完成，可以开始处理。","ViewModelMessage","P0","mainWindow.mainViewModel.line27.message","main-window","Pending"
"ViewModels/MainViewModel.cs","28","运行环境准备已取消。","ViewModelMessage","P0","mainWindow.mainViewModel.line28.message","main-window","Pending"
"ViewModels/MainViewModel.cs","29","运行环境准备失败，请检查网络或运行目录。","ViewModelMessage","P0","mainWindow.mainViewModel.line29.message","main-window","Pending"
"ViewModels/MainViewModel.cs","34","根据 Windows 当前主题自动切换明亮和暗黑外观。","ViewModelMessage","P0","mainWindow.mainViewModel.line34.message","main-window","Pending"
"ViewModels/MainViewModel.cs","34","跟随系统","ViewModelMessage","P0","mainWindow.mainViewModel.line34.message","main-window","Pending"
"ViewModels/MainViewModel.cs","35","始终使用明亮外观，适合高亮环境。","ViewModelMessage","P0","mainWindow.mainViewModel.line35.message","main-window","Pending"
"ViewModels/MainViewModel.cs","35","明亮主题","ViewModelMessage","P0","mainWindow.mainViewModel.line35.message","main-window","Pending"
"ViewModels/MainViewModel.cs","36","始终使用暗黑外观，适合低亮环境。","ViewModelMessage","P0","mainWindow.mainViewModel.line36.message","main-window","Pending"
"ViewModels/MainViewModel.cs","36","暗黑主题","ViewModelMessage","P0","mainWindow.mainViewModel.line36.message","main-window","Pending"
"ViewModels/MainViewModel.cs","44","快速换封装（默认）","ViewModelMessage","P0","mainWindow.mainViewModel.line44.message","main-window","Pending"
"ViewModels/MainViewModel.cs","45","保持当前默认行为：优先直接复用原始流，必要时沿用现有的兼容编码策略，速度更快。","ViewModelMessage","P0","mainWindow.mainViewModel.line45.message","main-window","Pending"
"ViewModels/MainViewModel.cs","48","真正转码（重新编码）","ViewModelMessage","P0","mainWindow.mainViewModel.line48.message","main-window","Pending"
"ViewModels/MainViewModel.cs","49","先解码再编码，重新生成音视频数据；更适合需要统一编码格式、兼容性或后续编辑的场景。","ViewModelMessage","P0","mainWindow.mainViewModel.line49.message","main-window","Pending"
